Age,  Saccharomyces, Schixosachararomyces, Saccharomyces mixed, Schixosacharomyces mixed
6,    0.37,              ,                 0.375,                0.291
16,   8.87,          1.00,                 3.99,                 0.98
24,   10.66,             ,                 4.69,                 1.47
29,   12.50,         1.70,                 6.15,                 1.46
40,   13.27,             ,                     ,                     
48,   12.87,         2.73,                 7.27,                 1.71
53,   12.70,             ,                 8.30,                 1.84
72,        ,         4.87,                     ,                     
93,        ,         5.67,                     ,                     
117,       ,         5.80,                     ,                     
141,       ,         5.83,                     ,                  
